Correlation table - 50 periods
ALX fradiani libs generated
Mon, 02 02 2010
pair1,pair2,15min,30min,Hourly
NZDCHF,EURUSD,0.47,0.53,-0.3
NZDCHF,CHFJPY,0.93,0.79,0.13
NZDCHF,CADJPY,0.96,0.92,0.72
NZDCHF,GBPCHF,0.78,0.01,-0.44
NZDCHF,GBPCAD,-0.85,-0.72,-0.8
NZDCHF,GBPAUD,-0.93,-0.85,-0.84
NZDCHF,EURGBP,-0.86,-0.03,0.57
NZDCHF,USDCHF,-0.46,-0.56,0.48
NZDCHF,EURCAD,-0.93,-0.92,-0.84
NZDCHF,USDCAD,-0.9,-0.93,-0.52
NZDCHF,NZDUSD,0.97,0.96,0.5
NZDCHF,CADCHF,0.96,0.95,0.91
NZDCHF,GBPJPY,0.96,0.93,-0.18
NZDCHF,EURCHF,-0.33,-0.12,0.61
NZDCHF,EURAUD,-0.96,-0.95,-0.17
NZDCHF,USDJPY,0.88,0.84,0.74
NZDCHF,GBPNZD,-0.97,-0.83,-0.87
NZDCHF,AUDJPY,0.97,0.94,0.36
NZDCHF,AUDCHF,0.98,0.97,0.59
AUDCAD,NZDJPY,0.77,0.68,0.05
AUDCAD,AUDNZD,0.36,0.23,0.91
AUDCAD,EURNZD,-0.81,-0.7,0.12
AUDCAD,AUDUSD,0.85,0.8,0.85
AUDCAD,GBPUSD,0.68,0.59,0.93
AUDCAD,NZDCAD,0.89,0.83,0.56
AUDCAD,NZDCHF,0.8,0.72,-0.45
AUDCAD,EURJPY,0.68,0.58,0.16
AUDCAD,EURUSD,0.52,0.47,0.76
AUDCAD,CHFJPY,0.7,0.59,0.45
AUDCAD,CADJPY,0.7,0.63,-0.11
AUDCAD,GBPCHF,0.55,0.13,0.66
AUDCAD,GBPCAD,-0.59,-0.34,0.8
AUDCAD,GBPAUD,-0.87,-0.64,0.31
AUDCAD,EURGBP,-0.66,-0.12,-0.78
AUDCAD,USDCHF,-0.53,-0.47,-0.86
AUDCAD,EURCAD,-0.68,-0.54,0.48
AUDCAD,USDCAD,-0.7,-0.62,-0.24
AUDCAD,NZDUSD,0.82,0.72,0.41
AUDCAD,CADCHF,0.65,0.56,-0.72
AUDCAD,GBPJPY,0.71,0.76,0.82
AUDCAD,EURCHF,-0.41,-0.04,-0.75
AUDCAD,EURAUD,-0.86,-0.8,-0.72
AUDCAD,USDJPY,0.58,0.58,-0.4
AUDCAD,GBPNZD,-0.82,-0.53,0.65
AUDCAD,AUDJPY,0.8,0.74,0.5
AUDCAD,AUDCHF,0.86,0.82,0.39
EURJPY,NZDJPY,0.98,0.94,0.92
EURJPY,AUDNZD,-0.01,-0.46,-0.11
EURJPY,EURNZD,-0.93,-0.75,-0.58
EURJPY,AUDUSD,0.88,0.84,0.55
EURJPY,GBPUSD,0.72,0.06,0.02
EURJPY,NZDCAD,0.72,0.79,0.58
EURJPY,NZDCHF,0.94,0.77,0.43
EURJPY,AUDCAD,0.68,0.58,0.16
EURJPY,EURUSD,0.42,0.89,0.55
EURJPY,CHFJPY,0.99,1.0,0.91
EURJPY,CADJPY,0.99,0.94,0.89
EURJPY,GBPCHF,0.69,-0.53,-0.43
EURJPY,GBPCAD,-0.89,-0.9,-0.36
EURJPY,GBPAUD,-0.89,-0.94,-0.72
EURJPY,EURGBP,-0.79,0.53,0.28
EURJPY,USDCHF,-0.44,-0.85,-0.41
EURJPY,EURCAD,-0.94,-0.59,-0.34
EURJPY,USDCAD,-0.89,-0.85,-0.82
EURJPY,NZDUSD,0.92,0.89,0.82
EURJPY,CADCHF,0.95,0.64,0.2
EURJPY,GBPJPY,0.98,0.8,0.51
EURJPY,EURCHF,-0.34,0.1,-0.1
EURJPY,EURAUD,-0.92,-0.66,-0.43
EURJPY,USDJPY,0.96,0.97,0.76
EURJPY,GBPNZD,-0.93,-0.94,-0.5
EURJPY,AUDJPY,0.97,0.93,0.87
EURJPY,AUDCHF,0.93,0.69,0.47
EURUSD,NZDJPY,0.47,0.76,0.33
EURUSD,AUDNZD,0.41,-0.42,0.6
EURUSD,EURNZD,-0.52,-0.52,0.04
EURUSD,AUDUSD,0.7,0.7,0.83
EURUSD,GBPUSD,0.84,-0.08,0.69
EURUSD,NZDCAD,0.31,0.64,0.59
EURUSD,NZDCHF,0.47,0.53,-0.3
EURUSD,AUDCAD,0.52,0.47,0.76
EURUSD,EURJPY,0.42,0.89,0.55
EURUSD,CHFJPY,0.46,0.88,0.71
EURUSD,CADJPY,0.49,0.76,0.2
EURUSD,GBPCHF,0.37,-0.71,0.17
EURUSD,GBPCAD,-0.45,-0.83,0.44
EURUSD,GBPAUD,-0.54,-0.85,-0.02
EURUSD,EURGBP,-0.6,0.69,-0.34
EURUSD,USDCHF,-0.93,-0.97,-0.92
EURUSD,EURCAD,-0.55,-0.33,0.41
EURUSD,USDCAD,-0.72,-0.72,-0.52
EURUSD,NZDUSD,0.64,0.74,0.62
EURUSD,CADCHF,0.49,0.37,-0.57
EURUSD,GBPJPY,0.49,0.55,0.73
EURUSD,EURCHF,-0.51,0.09,-0.56
EURUSD,EURAUD,-0.58,-0.43,-0.51
EURUSD,USDJPY,0.14,0.74,-0.12
EURUSD,GBPNZD,-0.45,-0.84,0.28
EURUSD,AUDJPY,0.52,0.75,0.63
EURUSD,AUDCHF,0.55,0.45,0.26
CHFJPY,NZDJPY,0.98,0.95,0.8
CHFJPY,AUDNZD,0.07,-0.45,0.22
CHFJPY,EURNZD,-0.94,-0.77,-0.44
CHFJPY,AUDUSD,0.91,0.86,0.75
CHFJPY,GBPUSD,0.74,0.09,0.35
CHFJPY,NZDCAD,0.71,0.79,0.59
CHFJPY,NZDCHF,0.93,0.79,0.13
CHFJPY,AUDCAD,0.7,0.59,0.45
CHFJPY,EURJPY,0.99,1.0,0.91
CHFJPY,EURUSD,0.46,0.88,0.71
CHFJPY,CADJPY,0.99,0.95,0.75
CHFJPY,GBPCHF,0.64,-0.52,-0.17
CHFJPY,GBPCAD,-0.92,-0.91,-0.02
CHFJPY,GBPAUD,-0.92,-0.95,-0.46
CHFJPY,EURGBP,-0.8,0.5,-0.06
CHFJPY,USDCHF,-0.52,-0.87,-0.7
CHFJPY,EURCAD,-0.96,-0.63,-0.17
CHFJPY,USDCAD,-0.92,-0.88,-0.79
CHFJPY,NZDUSD,0.93,0.9,0.81
CHFJPY,CADCHF,0.94,0.67,-0.12
CHFJPY,GBPJPY,0.98,0.82,0.76
CHFJPY,EURCHF,-0.47,0.01,-0.49
CHFJPY,EURAUD,-0.94,-0.69,-0.61
CHFJPY,USDJPY,0.93,0.96,0.55
CHFJPY,GBPNZD,-0.94,-0.95,-0.17
CHFJPY,AUDJPY,0.98,0.94,0.91
CHFJPY,AUDCHF,0.93,0.71,0.44
CADJPY,NZDJPY,0.99,0.99,0.97
CADJPY,AUDNZD,0.05,-0.41,-0.36
CADJPY,EURNZD,-0.96,-0.91,-0.84
CADJPY,AUDUSD,0.93,0.95,0.39
CADJPY,GBPUSD,0.78,0.3,-0.2
CADJPY,NZDCAD,0.7,0.81,0.42
CADJPY,NZDCHF,0.96,0.92,0.72
CADJPY,AUDCAD,0.7,0.63,-0.11
CADJPY,EURJPY,0.99,0.94,0.89
CADJPY,EURUSD,0.49,0.75,0.2
CADJPY,CHFJPY,0.99,0.95,0.75
CADJPY,GBPCHF,0.7,-0.3,-0.46
CADJPY,GBPCAD,-0.93,-0.88,-0.6
CADJPY,GBPAUD,-0.92,-0.95,-0.85
CADJPY,EURGBP,-0.84,0.27,0.38
CADJPY,USDCHF,-0.52,-0.77,-0.09
CADJPY,EURCAD,-0.98,-0.83,-0.73
CADJPY,USDCAD,-0.95,-0.97,-0.87
CADJPY,NZDUSD,0.95,0.97,0.79
CADJPY,CADCHF,0.98,0.86,0.57
CADJPY,GBPJPY,0.99,0.92,0.34
CADJPY,EURCHF,-0.43,-0.1,0.08
CADJPY,EURAUD,-0.95,-0.85,-0.44
CADJPY,USDJPY,0.92,0.95,0.91
CADJPY,GBPNZD,-0.94,-0.93,-0.7
CADJPY,AUDJPY,0.99,0.99,0.8
CADJPY,AUDCHF,0.95,0.86,0.6
GBPCHF,NZDJPY,0.73,-0.29,-0.39
GBPCHF,AUDNZD,-0.18,0.55,0.77
GBPCHF,EURNZD,-0.73,-0.02,0.24
GBPCHF,AUDUSD,0.67,-0.12,0.41
GBPCHF,GBPUSD,0.76,0.74,0.8
GBPCHF,NZDCAD,0.65,-0.16,0.04
GBPCHF,NZDCHF,0.78,0.01,-0.44
GBPCHF,AUDCAD,0.55,0.13,0.66
GBPCHF,EURJPY,0.69,-0.53,-0.43
GBPCHF,EURUSD,0.37,-0.71,0.17
GBPCHF,CHFJPY,0.64,-0.52,-0.17
GBPCHF,CADJPY,0.7,-0.3,-0.46
GBPCHF,GBPCAD,-0.45,0.65,0.85
GBPCHF,GBPAUD,-0.55,0.49,0.71
GBPCHF,EURGBP,-0.89,-0.98,-0.94
GBPCHF,USDCHF,-0.22,0.67,-0.35
GBPCHF,EURCAD,-0.68,-0.17,0.32
GBPCHF,USDCAD,-0.66,0.21,0.14
GBPCHF,NZDUSD,0.72,-0.22,-0.08
GBPCHF,CADCHF,0.76,0.15,-0.48
GBPCHF,GBPJPY,0.78,0.06,0.52
GBPCHF,EURCHF,0.07,-0.12,-0.5
GBPCHF,EURAUD,-0.69,-0.17,-0.49
GBPCHF,USDJPY,0.64,-0.38,-0.64
GBPCHF,GBPNZD,-0.6,0.55,0.82
GBPCHF,AUDJPY,0.7,-0.23,0.0
GBPCHF,AUDCHF,0.74,0.16,0.27
GBPCAD,NZDJPY,-0.9,-0.87,-0.5
GBPCAD,AUDNZD,-0.14,0.62,0.92
GBPCAD,EURNZD,0.88,0.72,0.56
GBPCAD,AUDUSD,-0.86,-0.76,0.44
GBPCAD,GBPUSD,-0.63,0.12,0.89
GBPCAD,NZDCAD,-0.55,-0.64,0.07
GBPCAD,NZDCHF,-0.85,-0.72,-0.8
GBPCAD,AUDCAD,-0.59,-0.34,0.8
GBPCAD,EURJPY,-0.89,-0.9,-0.36
GBPCAD,EURUSD,-0.44,-0.82,0.44
GBPCAD,CHFJPY,-0.92,-0.91,-0.02
GBPCAD,CADJPY,-0.93,-0.88,-0.6
GBPCAD,GBPCHF,-0.45,0.65,0.85
GBPCAD,GBPAUD,0.91,0.94,0.82
GBPCAD,EURGBP,0.65,-0.61,-0.91
GBPCAD,USDCHF,0.54,0.84,-0.63
GBPCAD,EURCAD,0.94,0.63,0.71
GBPCAD,USDCAD,0.9,0.85,0.27
GBPCAD,NZDUSD,-0.87,-0.84,-0.15
GBPCAD,CADCHF,-0.91,-0.65,-0.87
GBPCAD,GBPJPY,-0.86,-0.63,0.54
GBPCAD,EURCHF,0.54,0.09,-0.72
GBPCAD,EURAUD,0.89,0.59,-0.33
GBPCAD,USDJPY,-0.83,-0.85,-0.77
GBPCAD,GBPNZD,0.91,0.97,0.97
GBPCAD,AUDJPY,-0.91,-0.83,-0.05
GBPCAD,AUDCHF,-0.87,-0.59,-0.07
GBPAUD,NZDJPY,-0.94,-0.96,-0.85
GBPAUD,AUDNZD,-0.26,0.43,0.59
GBPAUD,EURNZD,0.96,0.85,0.79
GBPAUD,AUDUSD,-0.96,-0.92,-0.13
GBPAUD,GBPUSD,-0.74,-0.12,0.52
GBPAUD,NZDCAD,-0.79,-0.83,-0.42
GBPAUD,NZDCHF,-0.93,-0.85,-0.84
GBPAUD,AUDCAD,-0.87,-0.64,0.31
GBPAUD,EURJPY,-0.89,-0.94,-0.72
GBPAUD,EURUSD,-0.54,-0.85,-0.02
GBPAUD,CHFJPY,-0.92,-0.96,-0.47
GBPAUD,CADJPY,-0.92,-0.95,-0.85
GBPAUD,GBPCHF,-0.55,0.49,0.71
GBPAUD,GBPCAD,0.91,0.94,0.82
GBPAUD,EURGBP,0.74,-0.45,-0.69
GBPAUD,USDCHF,0.61,0.86,-0.18
GBPAUD,EURCAD,0.92,0.71,0.68
GBPAUD,USDCAD,0.91,0.92,0.66
GBPAUD,NZDUSD,-0.95,-0.95,-0.64
GBPAUD,CADCHF,-0.89,-0.73,-0.7
GBPAUD,GBPJPY,-0.88,-0.79,0.06
GBPAUD,EURCHF,0.55,0.09,-0.41
GBPAUD,EURAUD,0.98,0.77,0.18
GBPAUD,USDJPY,-0.8,-0.91,-0.84
GBPAUD,GBPNZD,0.97,0.98,0.91
GBPAUD,AUDJPY,-0.96,-0.95,-0.56
GBPAUD,AUDCHF,-0.97,-0.78,-0.49
EURGBP,NZDJPY,-0.85,0.27,0.3
EURGBP,AUDNZD,-0.06,-0.56,-0.88
EURGBP,EURNZD,0.86,0.06,-0.24
EURGBP,AUDUSD,-0.86,0.08,-0.55
EURGBP,GBPUSD,-0.93,-0.77,-0.92
EURGBP,NZDCAD,-0.65,0.17,-0.1
EURGBP,NZDCHF,-0.86,-0.03,0.57
EURGBP,AUDCAD,-0.66,-0.12,-0.78
EURGBP,EURJPY,-0.79,0.53,0.28
EURGBP,EURUSD,-0.6,0.69,-0.34
EURGBP,CHFJPY,-0.8,0.5,-0.06
EURGBP,CADJPY,-0.84,0.27,0.38
EURGBP,GBPCHF,-0.89,-0.98,-0.94
EURGBP,GBPCAD,0.65,-0.61,-0.91
EURGBP,GBPAUD,0.74,-0.45,-0.69
EURGBP,USDCHF,0.58,-0.61,0.58
EURGBP,EURCAD,0.87,0.24,-0.36
EURGBP,USDCAD,0.87,-0.15,-0.03
EURGBP,NZDUSD,-0.88,0.18,-0.03
EURGBP,CADCHF,-0.86,-0.19,0.64
EURGBP,GBPJPY,-0.89,-0.08,-0.68
EURGBP,EURCHF,0.37,0.29,0.76
EURGBP,EURAUD,0.86,0.22,0.58
